Name,vascular_wilt,soft_rot,is_solani,is_dianthicola
GCF_051783805.1,0,0,0,0
GCF_051783825.1,1,0,0,1
GCF_051783845.1,1,0,0,0
GCF_051783865.1,1,0,0,0
GCF_053502525.1,1,0,0,0
GCF_054589655.1,0,1,0,0
GCF_054589695.1,0,1,0,0
GCF_054589775.1,0,1,0,0
GCF_054589815.1,0,1,0,0
GCF_054589915.1,0,1,0,0
GCF_900095885.1,0,0,0,0
